"OldName","NewName","Title","Type"
"Постановление Правительства РФ от 18_03_2026 N 287  О федера.xml","postanovlenie-pravitelstva-rf-ot-18-03-2026-n-287-o-federalnom-organe-ispolnitelnoi-vlasti-upolnomochennom-na-ustanovlenie-poryadka-opr--d45f3b8c.xml","Постановление Правительства РФ от 18.03.2026 N 287 ""О федеральном органе исполнительной власти, уполномоченном на установление порядка определения начальной (максимальной) цены контракта, цены контракта, заключаемого с единственным поставщиком (подрядчиком, исполнителем), начальной цены единицы товара, работы, услуги при осуществлении закупок услуг по защите объектов транспортной инфраструктуры от актов незаконного вмешательства, в том числе защите от противоправных посягательств","resolution"
"Постановление Правительства РФ от 20_10_2014 N 1084 (ред_ от.xml","postanovlenie-pravitelstva-rf-ot-20-10-2014-n-1084-red-ot-31-10-2024-o-poryadke-opredeleniya-normativnykh-zatrat-na-obespechenie-funkts--71673343.xml","Постановление Правительства РФ от 20.10.2014 N 1084 (ред. от 31.10.2024) ""О порядке определения нормативных затрат на обеспечение функций федеральных государственных органов, органов управления государственными внебюджетными фондами Российской Федерации, определенных в соответствии с Бюджетным кодексом Российской Федерации наиболее значимых учреждений науки, образования, культуры и здравоохранения, включая соответственно территориальные органы и подведомственные казенные учреждения, а также Государственной","resolution"
"Постановление Правительства РФ от 21_06_2012 N 616 (ред_ от.xml","postanovlenie-pravitelstva-rf-ot-21-06-2012-n-616-red-ot-30-12-2015-ob-utverzhdenii-perechnya-tovarov-rabot-i-uslug-zakupka-kotorykh-os--b479cc6c.xml","Постановление Правительства РФ от 21.06.2012 N 616 (ред. от 30.12.2015) ""Об утверждении перечня товаров, работ и услуг, закупка которых осуществляется в электронной форме","resolution"
"Постановление Правительства РФ от 23_05_2026 N 590  О внесен.xml","postanovlenie-pravitelstva-rf-ot-23-05-2026-n-590-o-vnesenii-izmenenii-v-nekotorye-akty-pravitelstva-rossiiskoi-federatsii--eb8f2bad.xml","Постановление Правительства РФ от 23.05.2026 N 590 ""О внесении изменений в некоторые акты Правительства Российской Федерации","resolution"
"Постановление Правительства РФ от 23_12_2024 N 1875 (ред_ от.xml","postanovlenie-pravitelstva-rf-ot-23-12-2024-n-1875-red-ot-03-07-2026-o-merakh-po-predostavleniyu-natsionalnogo-rezhima-pri-osushchestvl--ac6afca0.xml","Постановление Правительства РФ от 23.12.2024 N 1875 (ред. от 03.07.2026) ""О мерах по предоставлению национального режима при осуществлении закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд, закупок товаров, работ, услуг отдельными видами юридических лиц"" (вместе с ""Положением о требованиях к форме и содержанию отчета об объеме закупок товаров российского происхождения, работ, услуг, соответственно выполняемых, оказываемых российскими гражданами, российскими юридическими лица","resolution"
"Постановление Правительства РФ от 24_12_2022 N 2411 (ред_ от.xml","postanovlenie-pravitelstva-rf-ot-24-12-2022-n-2411-red-ot-30-08-2025-ob-avansirovanii-dogovorov-gosudarstvennykh-kontraktov-o-postavke--a2c100f9.xml","Постановление Правительства РФ от 24.12.2022 N 2411 (ред. от 30.08.2025) ""Об авансировании договоров (государственных контрактов) о поставке промышленных товаров для государственных и муниципальных нужд, а также для нужд обороны страны и безопасности государства","resolution"
"Постановление Правительства РФ от 27_04_2026 N 476  О федера.xml","postanovlenie-pravitelstva-rf-ot-27-04-2026-n-476-o-federalnom-organe-ispolnitelnoi-vlasti-upolnomochennom-na-ustanovlenie-poryadka-opr--b74f7d99.xml","Постановление Правительства РФ от 27.04.2026 N 476 ""О федеральном органе исполнительной власти, уполномоченном на установление порядка определения начальной (максимальной) цены контракта, цены контракта, заключаемого с единственным поставщиком (подрядчиком, исполнителем), и начальной цены единицы товара, работы, услуги при осуществлении закупок технических средств реабилитации и услуг, предоставляемых инвалиду, а также технических средств реабилитации, работ по изготовлению протезов, протезно-ортопедических","resolution"
"Постановление Правительства РФ от 30_09_2019 N 1279 (ред_ от.xml","postanovlenie-pravitelstva-rf-ot-30-09-2019-n-1279-red-ot-02-09-2025-o-planakh-grafikakh-zakupok-i-o-priznanii-utrativshimi-silu-otdeln--0baaae5a.xml","Постановление Правительства РФ от 30.09.2019 N 1279 (ред. от 02.09.2025) ""О планах-графиках закупок и о признании утратившими силу отдельных решений Правительства Российской Федерации"" (вместе с ""Положением о порядке формирования, утверждения планов-графиков закупок, внесения изменений в такие планы-графики, размещения планов-графиков закупок в единой информационной системе в сфере закупок, на официальном сайте такой системы в информационно-телекоммуникационной сети ""Интернет"", об особенностях включения инф","resolution"
"Приказ Минпромторга России от 15_10_2025 N 5073 (ред_ от 04_.xml","prikaz-minpromtorga-rossii-ot-15-10-2025-n-5073-red-ot-04-03-2026-ob-utverzhdenii-metodicheskikh-rekomendatsii-po-provedeniyu-na-territ--d927bd51.xml","Приказ Минпромторга России от 15.10.2025 N 5073 (ред. от 04.03.2026) ""Об утверждении Методических рекомендаций по проведению на территории Российской Федерации эксперимента по ведению каталога, содержащего описание введенных в гражданский оборот товаров конкретного товарного знака, и (или) марки, и (или) модели, созданного для целей осуществления закупок товаров, работ, услуг в соответствии с пунктами 4 и 5 части 1 статьи 93 Федерального закона от 5 апреля 2013 г. N 44-ФЗ ""О контрактной системе в сфере заку","order"
"Приказ Минпромторга России от 28_02_2023 N 639  Об утвержден.xml","prikaz-minpromtorga-rossii-ot-28-02-2023-n-639-ob-utverzhdenii-poryadka-opredeleniya-nachalnoi-maksimalnoi-tseny-kontrakta-tseny-kontra--f068327b.xml","Приказ Минпромторга России от 28.02.2023 N 639 ""Об утверждении Порядка определения начальной (максимальной) цены контракта, цены контракта, заключаемого с единственным поставщиком (подрядчиком, исполнителем), и начальной цены единицы товара, работы, услуги при осуществлении закупок продукции судостроительной промышленности (за исключением продукции, закупка которой осуществляется в рамках государственного оборонного заказа)"" (Зарегистрировано в Минюсте России 04.04.2023 N 72871)","order"
